City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
11,Atuona,PF,77.45,few clouds,-9.8,-139.0333,Villa Enata
12,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
15,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Dhidhdhoo,MV,81.63,clear sky,6.8833,73.1,Dhidhoo beach
20,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
21,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
27,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
28,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Buala,SB,79.57,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
35,Hithadhoo,MV,80.69,scattered clouds,-0.6,73.0833,Scoop Guest House
36,Rikitea,PF,77.86,overcast clouds,-23.1203,-134.9692,People ThankYou
43,Arraial Do Cabo,BR,80.56,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
47,Vaini,TO,82.27,overcast clouds,-21.2,-175.2,Keleti Beach Resort
48,Diego De Almagro,CL,80.89,clear sky,-26.3667,-70.05,hotel luna del desierto
54,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
57,Kavieng,PG,81.43,light rain,-2.5744,150.7967,Nusa Island Retreat
60,Kapaa,US,77.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Saint-Philippe,RE,76.55,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Tutoia,BR,78.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
68,Tual,ID,83.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
69,Faranah,GN,80.92,few clouds,10.0404,-10.7434,Chez mon oncle
72,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
80,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
88,Lazaro Cardenas,MX,83.05,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
90,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
94,Uribia,CO,88.11,clear sky,11.7139,-72.266,Hotel Uribia
95,Daru,PG,77.29,overcast clouds,-9.0763,143.2092,Daru Lodge
96,Mar Del Plata,AR,75.22,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
111,Mitsamiouli,KM,80.85,overcast clouds,-11.3847,43.2844,Foyer ADM
112,Banda Aceh,ID,78.51,scattered clouds,5.5577,95.3222,Sulthan Hotel International
113,Lorengau,PG,80.98,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
135,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
141,San Juan De Los Morros,VE,89.62,overcast clouds,9.9115,-67.3538,Hotel La Montaña
153,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
154,Neiafu,TO,82.96,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
156,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
177,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
178,Santo Domingo,DO,85.68,few clouds,18.5001,-69.9886,Cabañas City Heart
179,Catuday,PH,76.03,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
186,Cabo San Lucas,MX,80.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
189,Garissa,KE,79.75,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
190,Chibuto,MZ,77.27,broken clouds,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
200,Mana,GF,78.91,scattered clouds,5.6592,-53.7767,LE SAMANA
207,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
208,Coihaique,CL,84.15,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
212,Dolores,AR,77.92,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
216,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
219,Isangel,VU,79.09,moderate rain,-19.55,169.2667,Tanna Lodge
222,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
223,Riachao Do Jacuipe,BR,79.56,moderate rain,-11.8069,-39.3856,Riachão Palace Hotel
224,Tefe,BR,82.51,broken clouds,-3.3542,-64.7114,Aracati Hotel
226,Tabou,CI,80.24,broken clouds,4.423,-7.3528,hotêl doufoulougou
228,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
232,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
233,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
240,Meulaboh,ID,79.02,broken clouds,4.1363,96.1285,Kost Pria
241,Jose De Freitas,BR,83.35,light rain,-4.7564,-42.5756,É Antônio de Souza construção
242,Padang,ID,76.84,overcast clouds,-0.9492,100.3543,Mercure Padang
243,Morondava,MG,81.28,scattered clouds,-20.2833,44.2833,La Case Bambou
244,Caravelas,BR,79.11,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
245,Muli,MV,79.93,broken clouds,2.9167,73.5667,Medhufushi Island Resort
261,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
266,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
267,Tarakan,ID,76.55,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
268,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
269,Pangai,TO,83.19,light rain,-19.8,-174.35,Ha'apai Beach Resort
276,Itacare,BR,84.09,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
278,Manicore,BR,79.3,overcast clouds,-5.8092,-61.3003,Hotel Durval
280,Batticaloa,LK,76.89,scattered clouds,7.7102,81.6924,Grand Star Guest House
291,Kroya,ID,77.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
295,Dabakala,CI,82.58,few clouds,8.3667,-4.4333,Hôtel Campement
296,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
302,Les Cayes,HT,80.2,broken clouds,18.2,-73.75,Villa Orphee
304,Fomboni,KM,81.55,overcast clouds,-12.28,43.7425,Auberge les abou
307,Kavaratti,IN,80.46,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
309,Maragogi,BR,80.24,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
311,Beira,MZ,80.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
314,Tucupita,VE,84.65,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
317,Kalmunai,LK,75.04,scattered clouds,7.4167,81.8167,VS Villa
320,Santana,BR,78.98,mist,-0.0583,-51.1817,Porto Santana
323,Lafia,NG,82.49,broken clouds,8.4833,8.5167,Low Cost Housing Estate
332,Placido De Castro,BR,86.23,overcast clouds,-10.3353,-67.1856,Hotel Carioca
337,Ancud,CL,78.33,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
339,Barao De Melgaco,BR,86.52,light rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
347,Savannah Bight,HN,84.25,clear sky,16.45,-85.85,Villa on Dunbar Rock
350,Koumac,NC,81.01,light rain,-20.5667,164.2833,Le Monitel
