City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Husavik,IS,66.0449,-17.3389,24.71,84,87,33.49,light snow
1,Marathon,US,44.9,-89.7668,14.25,54,20,1.99,few clouds
2,Dikson,RU,73.5069,80.5464,4.48,93,100,18.86,overcast clouds
3,Albany,US,42.6001,-73.9662,32.27,79,100,4.74,overcast clouds
4,Nenjiang,CN,49.1833,125.2167,-8.03,92,89,4.23,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,63.66,70,95,1.99,overcast clouds
6,Hamilton,US,39.1834,-84.5333,28.63,87,100,1.99,light snow
7,Lavrentiya,RU,65.5833,-171.0,-10.62,99,7,3.94,clear sky
8,Aviles,ES,43.5547,-5.9248,49.73,81,75,6.91,broken clouds
9,Talnakh,RU,69.4865,88.3972,2.21,92,100,12.71,light snow
10,Chulym,RU,55.0997,80.9572,-7.62,100,94,4.59,overcast clouds
11,Atuona,PF,-9.8,-139.0333,77.45,75,22,16.64,few clouds
12,Grand Gaube,MU,-20.0064,57.6608,79.2,78,6,1.99,clear sky
13,Ribeira Grande,PT,38.5167,-28.7,57.6,67,40,11.5,scattered clouds
14,Tatawin,TN,32.9297,10.4518,49.08,45,13,7.02,few clouds
15,Hilo,US,19.7297,-155.09,80.33,57,40,0.0,scattered clouds
16,Dhidhdhoo,MV,6.8833,73.1,81.63,70,6,19.75,clear sky
17,Hermanus,ZA,-34.4187,19.2345,61.81,75,0,11.59,clear sky
18,Awjilah,LY,29.1081,21.2869,53.87,57,5,8.08,clear sky
19,Henties Bay,NA,-22.116,14.2845,63.86,82,40,10.6,scattered clouds
20,Butaritari,KI,3.0707,172.7902,81.73,79,92,17.81,light rain
21,Avarua,CK,-21.2078,-159.775,82.45,78,20,13.8,few clouds
22,Hobart,AU,-42.8794,147.3294,64.02,81,75,1.01,broken clouds
23,Jamestown,US,42.097,-79.2353,22.32,58,100,5.01,overcast clouds
24,Cherskiy,RU,68.75,161.3,-14.51,92,100,1.79,overcast clouds
25,Yellowknife,CA,62.456,-114.3525,0.41,90,100,11.5,light snow
26,Norman Wells,CA,65.282,-126.8329,-5.76,77,100,9.22,light snow
27,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,75,4.61,light rain
28,Puerto Ayora,EC,-0.7393,-90.3518,82.36,76,80,9.51,broken clouds
29,Mataura,NZ,-46.1927,168.8643,56.48,68,93,1.81,overcast clouds
30,Itarema,BR,-2.9248,-39.9167,72.48,91,100,9.46,overcast clouds
31,Mangan,IN,27.5167,88.5333,46.81,35,1,6.4,clear sky
32,Buala,SB,-8.145,159.5921,79.57,81,93,7.72,overcast clouds
33,Asau,RO,46.4333,26.4,38.32,75,99,10.29,overcast clouds
34,Bluff,NZ,-46.6,168.3333,55.8,74,86,5.06,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,80.69,61,27,5.61,scattered clouds
36,Rikitea,PF,-23.1203,-134.9692,77.86,72,100,16.51,overcast clouds
37,Nikolskoye,RU,59.7035,30.7861,29.88,96,100,5.86,light snow
38,Ushuaia,AR,-54.8,-68.3,60.46,59,40,3.44,scattered clouds
39,Geraldton,AU,-28.7667,114.6,70.21,83,0,9.22,clear sky
40,Moura,PT,38.1401,-7.4486,51.91,62,3,6.08,clear sky
